player_id,teamID,nameFirst,nameLast,score
crawb001,SFN,Brandon,Crawford,174.1
joycm001,TBA,Matthew,Joyce,173.04
vicid001,CHA,Dayan,Viciedo,169.35
heltt001,COL,Todd,Helton,167.78
uggld001,ATL,Dan,Uggla,167.17
blang001,SFN,Gregor,Blanco,166.32999999999998
mccab002,ATL,Brian,McCann,166.07999999999998
polla001,ARI,"A. J.",Pollock,163.68
ellim001,LAN,Mark,Ellis,162.88
uribj002,LAN,Juan,Uribe,161.66
heywj001,ATL,Jason,Heyward,160.06999999999996
reyej001,TOR,Jose,Reyes,160.04999999999998
willj004,MIN,Josh,Willingham,159.5
crawc002,LAN,Carl,Crawford,159.49999999999997
mousm001,KCA,Mike,Moustakas,158.11999999999998
dirka001,DET,Andy,Dirks,157.47
saunm001,SEA,Michael,Saunders,157.13
reddj001,OAK,Josh,Reddick,156.92000000000002
lawrb002,TOR,Brett,Lawrie,156.37
ellia001,LAN,"A. J.",Ellis,155.72
gatte001,ATL,Evan,Gattis,155.72
ruggj001,MIA,Justin,Ruggiano,155.27999999999997
myerw001,TBA,Wil,Myers,153.5
hecha001,MIA,Adeiny,Hechavarria,152.88000000000002
ramia001,MIL,Aramis,Ramirez,150.87
cabre001,SDN,Everth,Cabrera,150.23
gillc001,CHA,Conor,Gillaspie,149.42000000000002
wellv001,NYA,Vernon,Wells,148.48000000000002
stubd001,CLE,Drew,Stubbs,147.47
hilla001,ARI,Aaron,Hill,146.46999999999997
castw002,CHN,Welington,Castillo,144.35999999999999
cainl001,KCA,Lorenzo,Cain,144.15999999999997
johnk003,TBA,Kelly,Johnson,143.99
alony001,SDN,Yonder,Alonso,142.60999999999999
soria001,CHN,Alfonso,Soriano,141.17000000000002
buckj001,NYN,John,Buck,140.69
smits002,OAK,Seth,Smith,139.54999999999998
keppj001,CHA,Jeff,Keppinger,139.27
iannc001,LAA,Chris,Iannetta,138.73000000000002
quenc001,SDN,Carlos,Quentin,138.17
sogae001,OAK,Eric,Sogard,137.31
renda001,WAS,Anthony,Rendon,135.49
valbl001,CHN,Luis,Valbuena,135.45
ramow001,WAS,Wilson,Ramos,135
adamm002,SLN,Matt,Adams,134.8
avilm001,CLE,Mike,Aviles,134.59
lemad001,COL,DJ,LeMahieu,133.46
hundn001,SDN,Nick,Hundley,132.48
dudal001,NYN,Lucas,Duda,131.82
ackld001,SEA,Dustin,Ackley,131.6
gregd001,ARI,Didi,Gregorius,131.34
beckg001,CHA,Gordon,Beckham,130.41000000000003
youne003,NYN,Eric,Young,129.31
florp001,MIN,Pedro,Florimon,129.15
gomey001,CLE,Yan,Gomes,128.24
tabaj002,PIT,Jose,Tabata,127.84999999999998
avila001,DET,Alex,Avila,127.58
mercj002,PIT,Jordy,Mercer,127.04999999999998
middw001,BOS,Will,Middlebrooks,126.95
arcio001,MIN,Oswaldo,Arcia,126.58
reynm001,CLE,Mark,Reynolds,126.55
polap001,MIA,Placido,Polanco,126
barnb002,HOU,Brandon,Barnes,125.13
betay001,MIL,Yuniesky,Betancourt,123.78999999999999
sancg001,PIT,Gaby,Sanchez,123.36
cabrm002,TOR,Melky,Cabrera,122.95
solad001,MIA,Donovan,Solano,122.92000000000002
maybj001,PHI,John,Mayberry,122.40999999999998
millb002,SEA,Brad,Miller,121.64
calla001,LAA,Alberto,Callaspo,120.8
lagaj001,NYN,Juan,Lagares,120.25
iztum001,TOR,Maicer,Izturis,119.47
morrl001,MIA,Logan,Morrison,119.38
younc004,OAK,Chris,Young,118.55
davir003,TOR,Rajai,Davis,118.21
kozmp001,SLN,Pete,Kozma,117.91000000000001
howar001,PHI,Ryan,Howard,117.88
mesod001,CIN,Devin,Mesoraco,117.34
lougd001,KCA,David,Lough,117.08999999999999
navad001,CHN,Dioner,Navarro,115.18999999999998
lucae001,MIA,Ed,Lucas,113.81
pagaa001,SFN,Angel,Pagan,113.64
weekr001,MIL,Rickie,Weeks,113.53
dejed001,CHN,David,DeJesus,110.63
soria001,NYA,Alfonso,Soriano,110.58999999999999
chave001,ARI,Eric,Chavez,110.57
robeb003,BAL,Brian,Roberts,110.46
scotl001,TBA,Luke,Scott,110.24
norrd001,OAK,Derek,Norris,110.22999999999999
braur002,MIL,Ryan,Braun,109.41
nunee002,NYA,Eduardo,Nunez,109.34
reveb001,PHI,Ben,Revere,107.5
berkl001,TEX,Lance,Berkman,106.35
lobaj001,TBA,Jose,Lobaton,106.24000000000001
ruf-d001,PHI,Darin,Ruf,105.79
guzmj005,SDN,Jesus,Guzman,103.75999999999999
chisl001,CLE,Lonnie,Chisenhall,103.32
kempm001,LAN,Matt,Kemp,102.14999999999999
hafnt001,NYA,Travis,Hafner,101.1
schal001,MIL,Logan,Schafer,100.88999999999999
uptob001,ATL,Melvin,Upton,100.56
blank002,SDN,Kyle,Blanks,100.44
ozunm001,MIA,Marcell,Ozuna,99.35
parmc001,MIN,Chris,Parmelee,98.72999999999999
puntn001,LAN,Nick,Punto,98.25999999999999
quino001,NYN,Omar,Quintanilla,97.61
penac001,HOU,Carlos,Pena,97.20999999999998
profj001,TEX,Jurickson,Profar,96.93999999999998
yound003,PHI,Delmon,Young,96.91
stewc001,NYA,Chris,Stewart,96.65
martj006,HOU,"J. D.",Martinez,96.46
blacc001,COL,Charlie,Blackmon,95.55
morsm001,SEA,Mike,Morse,95.08999999999999
yelic001,MIA,Christian,Yelich,92.63999999999999
wallb001,HOU,Brett,Wallace,92.49
derom001,TOR,Mark,DeRosa,91.99
calhk001,LAA,Kole,Calhoun,91.85
kawam001,TOR,Munenori,Kawasaki,91.80999999999999
frank001,PHI,Kevin,Frandsen,91.69
jasoj001,OAK,John,Jaso,91.01
rutlj001,COL,Josh,Rutledge,90.62
paulx001,CIN,Xavier,Paul,90.19
lombs002,WAS,Steve,Lombardozzi,89.94999999999999
franj005,MIL,Juan,Francisco,89
eatoa002,ARI,Adam,Eaton,88.93
iglej001,BOS,Jose,Iglesias,88.66
grosr001,HOU,Robbie,Grossman,87.52
nix-j001,NYA,Jayson,Nix,87.33
pierj002,MIA,Juan,Pierre,87.25
torra001,SFN,Andres,Torres,87.02
suzuk001,WAS,Kurt,Suzuki,86.07999999999998
pennc001,ARI,Cliff,Pennington,85.19
hicka001,MIN,Aaron,Hicks,84.43999999999998
penab002,DET,Brayan,Pena,84.39999999999999
molij001,TBA,Jose,Molina,82.85999999999999
barmc001,PIT,Clint,Barmes,81.97
schaj002,ATL,Jordan,Schafer,81.57000000000001
congh001,LAA,Hank,Conger,81.40999999999998
dobbg001,MIA,Greg,Dobbs,80.6
riosa002,TEX,Alex,Rios,80.52999999999999
lakej001,CHN,Junior,Lake,80.14999999999998
dysoj001,KCA,Jarrod,Dyson,79.80000000000001
kubej002,ARI,Jason,Kubel,79.31
heisc001,CIN,Chris,Heisey,78.78999999999999
hanir001,CIN,Ryan,Hanigan,78.03999999999999
chave002,SEA,Endy,Chavez,77.73
sweer001,CHN,Ryan,Sweeney,77.25999999999999
satij001,NYN,Josh,Satin,76.86999999999999
frein001,OAK,Nate,Freiman,76.49
pachj001,COL,Jordan,Pacheco,75.98
thomc002,MIN,Clete,Thomas,75.57
tuiam001,DET,Matt,Tuiasosopo,74.92999999999999
granc001,NYA,Curtis,Granderson,74.17999999999999
davik003,MIL,Khris,Davis,74.07999999999998
dietd001,MIA,Derek,Dietrich,73.80000000000001
bay-j001,SEA,Jason,Bay,73.34
dickc002,COL,Corey,Dickerson,73.33999999999999
giamj001,CLE,Jason,Giambi,73.05999999999999
bakej001,TEX,Jeff,Baker,72.80999999999999
valed001,BAL,Danny,Valencia,72.49999999999999
